2014062784   08,10,11,09,03
2014062783   01,11,10,05,07
2014062782   03,05,01,06,10
2014062781   05,03,08,10,11
2014062780   10,01,05,02,08
2014062779   03,02,08,04,01
2014062778   01,11,04,05,02
2014062777   07,03,10,04,06
2014062776   08,11,02,10,09
2014062775   03,08,01,05,11
2014062774   09,04,05,10,11
2014062773   09,10,02,01,04
2014062772   03,11,04,09,02
2014062771   04,09,01,11,08
2014062770   01,03,07,08,02
2014062769   08,06,11,02,03
2014062768   09,03,07,01,02
2014062767   07,09,10,08,11
2014062766   03,09,01,06,08
2014062765   09,11,08,07,10
2014062764   10,08,05,07,01
2014062763   07,06,03,10,09
2014062762   02,08,05,10,04
2014062761   11,07,04,05,03
2014062760   05,03,09,01,02
2014062759   02,03,06,09,07
2014062758   09,11,03,01,05
2014062757   10,01,11,03,07
2014062756   01,04,05,03,02
2014062755   10,04,05,09,06
2014062754   05,01,11,10,06
2014062753   01,03,04,10,09
2014062752   06,04,10,02,05
2014062751   08,04,10,11,02
2014062750   04,03,01,05,10
2014062749   09,05,10,07,02
2014062748   09,10,06,02,03
2014062747   07,01,11,06,03
2014062746   02,01,08,07,09
2014062745   07,01,08,04,03
2014062744   03,08,02,06,10
2014062743   02,07,03,10,09
2014062742   07,10,11,03,09
2014062741   03,06,07,10,02
2014062740   01,02,08,09,05
2014062739   10,01,07,02,08
2014062738   07,09,11,04,05
2014062737   02,06,07,01,05
2014062736   11,05,02,01,09
2014062735   02,04,08,09,01
2014062734   03,05,07,06,02
2014062733   03,01,07,02,09
2014062732   05,06,10,11,08
2014062731   04,02,03,07,06
2014062730   02,07,08,05,10
2014062729   11,01,04,03,02
2014062728   09,06,08,05,02
2014062727   06,11,09,10,08
2014062726   05,04,11,10,01
2014062725   05,02,08,01,10
2014062724   11,07,03,08,04
2014062723   06,03,01,10,02
2014062722   09,03,07,02,06
2014062721   08,04,01,10,07
2014062720   01,05,07,06,10
2014062719   09,06,07,03,02
2014062718   05,06,11,01,02
2014062717   04,05,06,10,07
2014062716   06,11,01,02,05
2014062715   08,02,06,03,11
2014062714   11,03,01,07,05
2014062713   10,05,08,02,07
2014062712   03,01,10,11,04
2014062711   09,08,10,03,06
2014062710   02,04,07,09,11
2014062709   04,08,09,06,05
2014062708   07,10,09,11,02
2014062707   01,07,09,08,04
2014062706   05,02,06,01,07
2014062705   03,06,04,01,05
2014062704   02,10,08,06,11
2014062703   08,05,11,01,10
2014062702   03,11,02,09,10
